"epaRegion","state","species","lMerc","lPCB","feeder"
3,"VA","Smallmouth bass",5.13579843705026,-1.62964061975162,"P"
3,"VA","Smallmouth bass",5.59471137960184,-1.76609172247948,"P"
3,"VA","Rock bass",4.7361984483945,-1.29828348379718,"P"
3,"VA","Largemouth bass",5.94803498918065,-2.75829141753896,"P"
1,"VT","Yellow perch",5.61312810638807,-2.25379492882461,"P"
10,"WA","Smallmouth bass",3.88977739648083,-2.69859504233145,"P"
10,"WA","Rainbow trout",3.63495111208838,-3.42959685618385,"P"
10,"WA","Rainbow trout",4.74493212836325,-1.57987911019256,"P"
10,"WA","Rainbow trout",2.98061863574394,-2.14558134418438,"P"
10,"WA","Rainbow trout",4.21064501791826,-3.31593753771133,"P"
10,"WA","Mountain whitefish",3.52636052461616,-2.89860556282327,"P"
10,"WA","Northern pikeminnow",5.36129216570943,-0.798507696217772,"P"
5,"WI","Largemouth bass",5.68357976733868,-1.24827306322252,"P"
5,"WI","Smallmouth bass",5.84354441703136,-0.605136303237232,"P"
5,"WI","Smallmouth bass",5.66988092298052,-4.25451331437492,"P"
5,"WI","Largemouth bass",5.57594910314632,-2.17155683058764,"P"
5,"WI","Smallmouth bass",5.75257263882563,-0.473208760194684,"P"
5,"WI","Smallmouth bass",5.88887795833288,-1.58963528513792,"P"
5,"WI","White sucker",5.27811465923052,-2.81674961802555,"BD"
5,"WI","Smallmouth bass",5.30826769740121,-2.07147337203066,"P"
3,"WV","Freshwater drum",5.52942908751142,-0.0397808700118446,"P"
3,"WV","Channel catfish",4.49869794147757,0.741937344729377,"BD"
3,"WV","Channel catfish",4.27666611901606,0.928219302739429,"BD"
3,"WV","Channel catfish",6.12249280951439,0.506817602368452,"BD"
3,"WV","Rock bass",4.51743127168008,-1.40649706843741,"P"
3,"WV","Smallmouth bass",5.89164421182577,-1.41058705368894,"P"
3,"WV","Smallmouth bass",5.36129216570943,-1.68200860526894,"P"
